Case,Time Uncertainty,Mean Error,Total Communication,Effectiveness
No Filter,5e-09,1.4205075921038668,118.0,0.024857828750481564
No Filter,5e-09,1.392364647836001,88.0,0.034005807977151234
No Filter,5e-09,1.4950477844900374,209.0,0.013334827390504263
No Filter,5e-09,1.3932604900991479,99.0,0.030207949185831744
No Filter,5e-09,1.433257243842779,122.0,0.02382894320695112
No Filter,5e-09,1.4195351734468937,113.0,0.025975514402118025
No Filter,5e-09,1.4248523942473703,175.0,0.01671016865020631
No Filter,5e-09,1.4357191461856336,173.0,0.016775410764721013
No Filter,5e-09,1.465167767084013,120.0,0.02369846170676183
No Filter,5e-09,1.4487273880283902,121.0,0.023769317811305275
No Filter,5e-09,1.406491707654984,127.0,0.023326407664949575
No Filter,5e-09,1.4195790066376877,101.0,0.029060816777118168
No Filter,5e-09,1.4803865563204295,119.0,0.023651934322660873
No Filter,5e-09,1.4520962876987997,168.0,0.017079850359573236
No Filter,5e-09,1.37643421803794,490.0,0.006177847985111506
No Filter,5e-09,1.4369400785185176,121.0,0.02396429901481464
No Filter,5e-09,1.41634220626894,539.0,0.005457978191291821
No Filter,5e-09,1.4670093545626142,110.0,0.02582041331977829
No Filter,5e-09,1.3795904953744718,98.0,0.03081857039844306
No Filter,5e-09,1.4383953887251246,101.0,0.028680657443643166
No Filter,5e-09,1.4511356710525682,111.0,0.025867696788343723
No Filter,5e-09,1.4999005132326884,141.0,0.019701858331575527
No Filter,5e-09,1.508846254183897,286.0,0.009655565985180184
No Filter,5e-09,1.4318353573956812,118.0,0.024661169512884766
No Filter,5e-09,1.3704011096625328,396.0,0.007677960450919791
No Filter,5e-09,1.4760844038599006,556.0,0.005076948700607196
No Filter,5e-09,1.431567346569674,139.0,0.02093930072970783
No Filter,5e-09,1.44391798390608,152.0,0.0189846521805891
No Filter,5e-09,1.4238090615111103,101.0,0.02897447876104793
No Filter,5e-09,1.3818398443293904,95.0,0.031740037966622815
